OO	xdotool Keyname	Description	Type	Subtype	X keycode	Unicode	Sort	Orig
1	F1	Function F1	Function	Function	0xffbe		-0.99	98
2	F2	Function F2	Function	Function	0xffbf		-0.99	99
3	F3	Function F3	Function	Function	0xffc0		-0.99	100
4	F4	Function F4	Function	Function	0xffc1		-0.99	101
5	F5	Function F5	Function	Function	0xffc2		-0.99	102
6	F6	Function F6	Function	Function	0xffc3		-0.99	103
7	F7	Function F7	Function	Function	0xffc4		-0.99	104
8	F8	Function F8	Function	Function	0xffc5		-0.99	105
9	F9	Function F9	Function	Function	0xffc6		-0.99	106
10	F10	Function F10	Function	Function	0xffc7		0	107
11	F11	Function F11	Function	Function	0xffc8		0	108
12	F12	Function F12	Function	Function	0xffc9		0	110
13	F13	Function F13	Function	Function	0xffca		0	112
14	F14	Function F14	Function	Function	0xffcb		0	114
15	F15	Function F15	Function	Function	0xffcc		0	116
16	F16	Function F16	Function	Function	0xffcd		0	118
17	F17	Function F17	Function	Function	0xffce		0	120
18	F18	Function F18	Function	Function	0xffcf		0	122
19	F19	Function F19	Function	Function	0xffd0		0	124
20	F20	Function F20	Function	Function	0xffd1		0	126
21	F21	Function F21	Function	Function	0xffd2		0	128
22	F22	Function F22	Function	Function	0xffd3		0	130
23	F23	Function F23	Function	Function	0xffd4		0	132
24	F24	Function F24	Function	Function	0xffd5		0	134
25	F25	Function F25	Function	Function	0xffd6		0	136
26	F26	Function F26	Function	Function	0xffd7		0	138
27	F27	Function F27	Function	Function	0xffd8		0	140
28	F28	Function F28	Function	Function	0xffd9		0	142
29	F29	Function F29	Function	Function	0xffda		0	144
30	F30	Function F30	Function	Function	0xffdb		0	146
31	F31	Function F31	Function	Function	0xffdc		0	148
32	F32	Function F32	Function	Function	0xffdd		0	150
33	F33	Function F33	Function	Function	0xffde		0	152
34	F34	Function F34	Function	Function	0xffdf		0	154
35	F35	Function F35	Function	Function	0xffe0		0	156
36	SunF36	Function F36 (Sun)	Function	Function	0x1005ff10		0	2288
37	SunF37	Function F37 (Sun)	Function	Function	0x1005ff11		0	2289
38	L1	Function L1	Function	Function	0xffc8		1	109
39	L2	Function L2	Function	Function	0xffc9		1	111
40	L3	Function L3	Function	Function	0xffca		1	113
41	L4	Function L4	Function	Function	0xffcb		1	115
42	L5	Function L5	Function	Function	0xffcc		1	117
43	L6	Function L6	Function	Function	0xffcd		1	119
44	L7	Function L7	Function	Function	0xffce		1	121
45	L8	Function L8	Function	Function	0xffcf		1	123
46	L9	Function L9	Function	Function	0xffd0		1	125
47	L10	Function L10	Function	Function	0xffd1		1.001	127
48	R1	Function R1	Function	Function	0xffd2		2	129
49	R2	Function R2	Function	Function	0xffd3		2	131
50	R3	Function R3	Function	Function	0xffd4		2	133
51	R4	Function R4	Function	Function	0xffd5		2	135
52	R5	Function R5	Function	Function	0xffd6		2	137
53	R6	Function R6	Function	Function	0xffd7		2	139
54	R7	Function R7	Function	Function	0xffd8		2	141
55	R8	Function R8	Function	Function	0xffd9		2	143
56	R9	Function R9	Function	Function	0xffda		2	145
57	R10	Function R10	Function	Function	0xffdb		2.001	147
58	R11	Function R11	Function	Function	0xffdc		2.001	149
59	R12	Function R12	Function	Function	0xffdd		2.001	151
60	R13	Function R13	Function	Function	0xffde		2.001	153
61	R14	Function R14	Function	Function	0xffdf		2.001	155
62	R15	Function R15	Function	Function	0xffe0		2.001	157
63	KP_F1	Function KP F1 (Keypad)	Function	Keypad 	0xff91		3	64
64	KP_F2	Function KP F2 (Keypad)	Function	Keypad 	0xff92		3	65
65	KP_F3	Function KP F3 (Keypad)	Function	Keypad 	0xff93		3	66
66	KP_F4	Function KP F4 (Keypad)	Function	Keypad 	0xff94		3	67
67	3270_PA1	PA1 (IBM)	Function	IBM3270	0xfd0a		4	325
68	3270_PA2	PA2 (IBM)	Function	IBM3270	0xfd0b		4	326
69	3270_PA3	PA3 (IBM)	Function	IBM3270	0xfd0c		4	327
70	XF86Blue	Blue Button	Function	Function	0x1008ffa6		5	2141
71	XF86Green	Green Button	Function	Function	0x1008ffa4		5	2139
72	XF86Red	Red Button	Function	Function	0x1008ffa3		5	2138
73	XF86Yellow	Yellow Button	Function	Function	0x1008ffa5		5	2140
74	XF86Keyboard	User Defined Keyboard Related Action (XF86)	Function	Function	0x1008ffb3		6	2246
75	osfActivate	Activate (osf)	Control	Control	0x1004ff44		10	2359
76	osfAddMode	Add Mode (osf)	Control	Control	0x1004ff31		10	2352
77	Touroku	Add to Dictionary	Control	Japanese KB	0xff2b		10	27
78	3270_AltCursor	Alt Cursor (IBM)	Control	IBM3270	0xfd10		10	331
79	osfBackSpace	Back Space (osf)	Control	Control	0x1004ff08		10	2349
80	BackSpace	Back space, back char (TTY)	Control	TTY	0xff08		10	1
81	osfBeginData	Begin Data (osf)	Control	Control	0x1004ff5a		10	2368
82	osfCancel	Cancel (osf)	Control	Control	0x1004ff69		10	2377
83	SunStop	Cancel (Sun)	Control	OpenLook	0x0000ff69		10	2299
84	Muhenkan	Cancel Conversion	Control	Japanese KB	0xff22		10	17
85	Cancel	Cancel, Stop, Abort, Exit	Control	Misc functions	0xff69		10	55
86	ISO_Center_Object	Center Object (ISO)	Control	XKB Extension	0xfe33		10	210
87	osfClear	Clear (osf)	Control	Control	0x1004ff0b		10	2350
88	Clear	Clear (TTY)	Control	TTY	0xff0b		10	4
89	ClearLine	Clear Line (deprecated)	Control	Control	0x1000ff6f		10	2388
90	hpClearLine	Clear Line (hp)	Control	Control	0x1000ff6f		10	2322
91	XF86Clear	Clear Window, Screen	Control	Control	0x1008ff55		10	2205
92	XF86Close	Close Window	Control	Control	0x1008ff56		10	2206
93	3270_Copy	Copy (IBM)	Control	IBM3270	0xfd15		10	336
94	SunCopy	Copy (OpenLook)	Control	OpenLook	0x1005ff72		10	2302
95	osfCopy	Copy (osf)	Control	Control	0x1004ff02		10	2345
96	XF86Copy	Copy Selection	Control	Control	0x1008ff57		10	2207
97	3270_CursorBlink	Cursor Blink (IBM)	Control	IBM3270	0xfd0f		10	330
98	3270_CursorSelect	Cursor Select (IBM)	Control	IBM3270	0xfd1c		10	343
99	SunCut	Cut (OpenLook)	Control	OpenLook	0x1005ff75		10	2305
100	osfCut	Cut (osf)	Control	Control	0x1004ff03		10	2346
101	XF86Cut	Cut Selection	Control	Control	0x1008ff58		10	2208
102	KP_Delete	Delete (Keypad)	Control	Keypad 	0xff9f		10	80
103	osfDelete	Delete (osf)	Control	Control	0x1004ffff		10	2384
104	DeleteChar	Delete Char (deprecated)	Control	Control	0x1000ff73		10	2392
105	hpDeleteChar	Delete Char (hp)	Control	Control	0x1000ff73		10	2326
106	Massyo	Delete from Dictionary	Control	Japanese KB	0xff2c		10	28
107	DeleteLine	Delete Line (deprecated)	Control	Control	0x1000ff71		10	2390
108	hpDeleteLine	Delete Line (hp)	Control	Control	0x1000ff71		10	2324
109	3270_DeleteWord	Delete Word (IBM)	Control	IBM3270	0xfd1a		10	341
110	Delete	Delete, rubout	Control	TTY	0xffff		10	10
111	osfDeselectAll	Deselect All (osf)	Control	Control	0x1004ff72		10	2380
112	XF86Tools	Desktop Tools	Control	Control	0x1008ff81		10	2189
113	XF86MyComputer	Display "My Computer" Window	Control	Control	0x1008ff33		10	2150
114	XF86MenuKB	Distinguish Keyboard From Pb	Control	Control	0x1008ff65		10	2211
115	XF86MenuPB	Distinguish Pb From Keyboard	Control	Control	0x1008ff66		10	2212
116	3270_Duplicate	Duplicate (IBM)	Control	IBM3270	0xfd01		10	316
117	ISO_Emphasize	Emphasize (ISO)	Control	XKB Extension	0xfe32		10	209
118	osfEndData	End Data (osf)	Control	Control	0x1004ff59		10	2367
119	osfEndLine	End Line (osf)	Control	Control	0x1004ff57		10	2365
120	3270_Enter	Enter (IBM)	Control	IBM3270	0xfd1e		10	345
121	XF86Meeting	Enter Meeting In Calendar	Control	Control	0x1008ff63		10	2182
122	3270_EraseEOF	Erase EOF (IBM)	Control	IBM3270	0xfd06		10	321
123	3270_EraseInput	Erase Input (IBM)	Control	IBM3270	0xfd07		10	322
124	osfEscape	Escape (osf)	Control	Control	0x1004ff1b		10	2351
125	Escape	Escape (TTY)	Control	TTY	0xff1b		10	9
126	3270_ExSelect	Ex Select (IBM)	Control	IBM3270	0xfd1b		10	342
127	Execute	Execute (Run, Do)	Control	Misc functions	0xff62		10	49
128	osfExtend	Extend (osf)	Control	Control	0x1004ff74		10	2382
129	3270_FieldMark	Field Mark (IBM)	Control	IBM3270	0xfd02		10	317
130	Find	Find (Search)	Control	Misc functions	0xff68		10	54
131	SunFind	Find (Sun)	Control	OpenLook	0x0000ff68		10	2298
132	SunFront	Front (OpenLook)	Control	OpenLook	0x1005ff71		10	2301
133	XF86Support	Get Support (??)	Control	Control	0x1008ff7e		10	2186
134	Help	Help	Control	Misc functions	0xff6a		10	56
135	osfHelp	Help (osf)	Control	Control	0x1004ff6a		10	2378
136	3270_Ident	Ident (IBM)	Control	IBM3270	0xfd13		10	334
137	KP_Insert	Insert (Keypad)	Control	Keypad 	0xff9e		10	79
138	osfInsert	Insert (osf)	Control	Control	0x1004ff63		10	2374
139	InsertChar	Insert Char (deprecated)	Control	Control	0x1000ff72		10	2391
140	hpInsertChar	Insert Char (hp)	Control	Control	0x1000ff72		10	2325
141	InsertLine	Insert Line (deprecated)	Control	Control	0x1000ff70		10	2389
142	hpInsertLine	Insert Line (hp)	Control	Control	0x1000ff70		10	2323
143	Insert	Insert, Insert Here	Control	Misc functions	0xff63		10	50
144	3270_Jump	Jump (IBM)	Control	IBM3270	0xfd12		10	333
145	Kanji	Kanji, Kanji convert	Control	Japanese KB	0xff21		10	16
146	3270_KeyClick	Key Click (IBM)	Control	IBM3270	0xfd11		10	332
147	XF86LightBulb	Light Bulb Keys Exist	Control	Control	0x1008ff35		10	2152
148	Menu	Menu	Control	Misc functions	0xff67		10	53
149	osfMenu	Menu (osf)	Control	Control	0x1004ff67		10	2376
150	osfMenuBar	Menu Bar (osf)	Control	Control	0x1004ff45		10	2360
151	XF86New	New (Folder, Document)	Control	Control	0x1008ff68		10	2210
152	SunOpen	Open (OpenLook)	Control	OpenLook	0x1005ff73		10	2303
153	XF86Option	Option	Control	Control	0x1008ff6c		10	2113
154	XF86Paste	Paste	Control	Control	0x1008ff6d		10	2209
155	SunPaste	Paste (OpenLook)	Control	OpenLook	0x1005ff74		10	2304
156	osfPaste	Paste (osf)	Control	Control	0x1004ff04		10	2347
157	Pause	Pause, hold (TTY)	Control	TTY	0xff13		10	6
158	3270_Play	Play (IBM)	Control	IBM3270	0xfd16		10	337
159	Pointer_Accelerate	Pointer Accelerate (XKB)	Control	XKB Extension	0xfefa		10	307
160	Pointer_Button1	Pointer Button 1 (XKB)	Control	XKB Extension	0xfee9		10	289
161	Pointer_Button2	Pointer Button 2 (XKB)	Control	XKB Extension	0xfeea		10	290
162	Pointer_Button3	Pointer Button 3 (XKB)	Control	XKB Extension	0xfeeb		10	291
163	Pointer_Button4	Pointer Button 4 (XKB)	Control	XKB Extension	0xfeec		10	292
164	Pointer_Button5	Pointer Button 5 (XKB)	Control	XKB Extension	0xfeed		10	293
165	Pointer_Button_Dflt	Pointer Button Default (XKB)	Control	XKB Extension	0xfee8		10	288
166	Pointer_DblClick1	Pointer Dbl Click 1 (XKB)	Control	XKB Extension	0xfeef		10	295
167	Pointer_DblClick2	Pointer Dbl Click 2 (XKB)	Control	XKB Extension	0xfef0		10	296
168	Pointer_DblClick3	Pointer Dbl Click 3 (XKB)	Control	XKB Extension	0xfef1		10	297
169	Pointer_DblClick4	Pointer Dbl Click 4 (XKB)	Control	XKB Extension	0xfef2		10	298
170	Pointer_DblClick5	Pointer Dbl Click 5 (XKB)	Control	XKB Extension	0xfef3		10	299
171	Pointer_DblClick_Dflt	Pointer Dbl Click Default (XKB)	Control	XKB Extension	0xfeee		10	294
172	Pointer_DfltBtnNext	Pointer Default Btn Next (XKB)	Control	XKB Extension	0xfefb		10	308
173	Pointer_DfltBtnPrev	Pointer Default Btn Prev (XKB)	Control	XKB Extension	0xfefc		10	309
174	Pointer_Drag1	Pointer Drag 1 (XKB)	Control	XKB Extension	0xfef5		10	301
175	Pointer_Drag2	Pointer Drag 2 (XKB)	Control	XKB Extension	0xfef6		10	302
176	Pointer_Drag3	Pointer Drag 3 (XKB)	Control	XKB Extension	0xfef7		10	303
177	Pointer_Drag4	Pointer Drag 4 (XKB)	Control	XKB Extension	0xfef8		10	304
178	Pointer_Drag5	Pointer Drag 5 (XKB)	Control	XKB Extension	0xfefd		10	305
179	Pointer_Drag_Dflt	Pointer Drag Default (XKB)	Control	XKB Extension	0xfef4		10	300
180	osfPrimaryPaste	Primary Paste (osf)	Control	Control	0x1004ff32		10	2353
181	Print	Print	Control	Misc functions	0xff61		10	48
182	SunPrint_Screen	Print (Sun)	Control	Control	0x0000ff61		10	2291
183	XF86LogGrabInfo	Print All Active Grabs To Log	Control	Control	0x1008fe25		10	2281
184	3270_PrintScreen	Print Screen (IBM)	Control	IBM3270	0xfd1d		10	344
185	XF86LogWindowTree	Print Window Tree To Log	Control	Control	0x1008fe24		10	2280
