Name		minicontrol		Action			Detect			Sensitivity						|<--	Output					-->|
	Oct	Map	Key	Touch (Vel 1-24)	Tap (Vel 25-119)	Hit (Vel 120-127)	Event2	Chan	Note	Min	Touch	Tap	Hit	Max	Key Detect	Touch Detect	Touch Action	Tap Detect	Tap Action	Hit Detect	Hit Action	Key complete
			C-1	Hello	Hello	Hello	on	0	0	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E3:G3)="","",UNICHAR(34)&H3&" "&I3&" "&J3&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2 "&UNICHAR(34)&" in ")	=IF(ISBLANK(E3),"",L3)	=IF(ISBLANK(E3),"",LOOKUP(E3,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F3),"",M3)	=IF(ISBLANK(F3),"",LOOKUP(F3,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G3),"",N3)	=IF(ISBLANK(G3),"",LOOKUP(G3,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E3:G3)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#-1				on	0	1	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E4:G4)="","",UNICHAR(34)&H4&" "&I4&" "&J4&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2 "&UNICHAR(34)&" in ")	=IF(ISBLANK(E4),"",L4)	=IF(ISBLANK(E4),"",LOOKUP(E4,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F4),"",M4)	=IF(ISBLANK(F4),"",LOOKUP(F4,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G4),"",N4)	=IF(ISBLANK(G4),"",LOOKUP(G4,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E4:G4)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D-1				on	0	2	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E5:G5)="","",UNICHAR(34)&H5&" "&I5&" "&J5&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2 "&UNICHAR(34)&" in ")	=IF(ISBLANK(E5),"",L5)	=IF(ISBLANK(E5),"",LOOKUP(E5,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F5),"",M5)	=IF(ISBLANK(F5),"",LOOKUP(F5,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G5),"",N5)	=IF(ISBLANK(G5),"",LOOKUP(G5,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E5:G5)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#-1				on	0	3	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E6:G6)="","",UNICHAR(34)&H6&" "&I6&" "&J6&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2 "&UNICHAR(34)&" in ")	=IF(ISBLANK(E6),"",L6)	=IF(ISBLANK(E6),"",LOOKUP(E6,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F6),"",M6)	=IF(ISBLANK(F6),"",LOOKUP(F6,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G6),"",N6)	=IF(ISBLANK(G6),"",LOOKUP(G6,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E6:G6)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E-1				on	0	4	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E7:G7)="","",UNICHAR(34)&H7&" "&I7&" "&J7&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2 "&UNICHAR(34)&" in ")	=IF(ISBLANK(E7),"",L7)	=IF(ISBLANK(E7),"",LOOKUP(E7,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F7),"",M7)	=IF(ISBLANK(F7),"",LOOKUP(F7,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G7),"",N7)	=IF(ISBLANK(G7),"",LOOKUP(G7,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E7:G7)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
	MidiKeys		F-1	Tab	Tab	Escape	on	0	5	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E8:G8)="","",UNICHAR(34)&H8&" "&I8&" "&J8&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E8),"",L8)	=IF(ISBLANK(E8),"",LOOKUP(E8,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F8),"",M8)	=IF(ISBLANK(F8),"",LOOKUP(F8,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G8),"",N8)	=IF(ISBLANK(G8),"",LOOKUP(G8,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E8:G8)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#-1	Little i	Big I	1	on	0	6	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E9:G9)="","",UNICHAR(34)&H9&" "&I9&" "&J9&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E9),"",L9)	=IF(ISBLANK(E9),"",LOOKUP(E9,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F9),"",M9)	=IF(ISBLANK(F9),"",LOOKUP(F9,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G9),"",N9)	=IF(ISBLANK(G9),"",LOOKUP(G9,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E9:G9)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G-1	Little x	Big X	Quote	on	0	7	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E10:G10)="","",UNICHAR(34)&H10&" "&I10&" "&J10&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E10),"",L10)	=IF(ISBLANK(E10),"",LOOKUP(E10,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F10),"",M10)	=IF(ISBLANK(F10),"",LOOKUP(F10,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G10),"",N10)	=IF(ISBLANK(G10),"",LOOKUP(G10,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E10:G10)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#-1	Little a	Big A	Apostrophe	on	0	8	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E11:G11)="","",UNICHAR(34)&H11&" "&I11&" "&J11&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E11),"",L11)	=IF(ISBLANK(E11),"",LOOKUP(E11,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F11),"",M11)	=IF(ISBLANK(F11),"",LOOKUP(F11,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G11),"",N11)	=IF(ISBLANK(G11),"",LOOKUP(G11,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E11:G11)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A-1	Little k	Big K	Dash	on	0	9	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E12:G12)="","",UNICHAR(34)&H12&" "&I12&" "&J12&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E12),"",L12)	=IF(ISBLANK(E12),"",LOOKUP(E12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F12),"",M12)	=IF(ISBLANK(F12),"",LOOKUP(F12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G12),"",N12)	=IF(ISBLANK(G12),"",LOOKUP(G12,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E12:G12)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
